time;type;message
1622062386.635972;INFO;Received new zone object with ID sample_zone!
1622062386.879767;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.244s)
1622062387.038647;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.159s)
1622062387.201607;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.163s)
1622062387.5106728;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.159s)
1622062387.667244;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.157s)
1622062387.821496;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.154s)
1622062387.976073;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.155s)
1622062388.13668;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.161s)
1622062388.293442;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.157s)
1622062388.498205;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.205s)
1622062388.795052;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.151s)
1622062389.094197;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.151s)
1622062389.405786;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.163s)
1622062389.5606458;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.155s)
1622062389.7159412;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.155s)
1622062389.872649;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.157s)
1622062390.027618;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.155s)
1622062390.182549;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.155s)
1622062390.3389509;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.156s)
1622062390.4933581;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.154s)
1622062390.645355;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.152s)
1622062390.8218539;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.176s)
1622062390.9816;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.160s)
1622062391.327274;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.198s)
1622062391.493833;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.167s)
1622062392.12605;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.168s)
1622062394.879405;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.210s)
1622062395.412744;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.160s)
1622062397.8472052;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.193s)
1622062400.484525;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.152s)
1622062400.8066041;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.181s)
1622062404.096152;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.188s)
1622062407.594652;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.194s)
1622062411.665041;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.202s)
