# dab2f956-0aa0-436a-b574-fba1a8f4222e
# d05a1b7567c802048e9fc7d6d97b4be657a96b9d
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0430965; -0.8529443; 1.8333176; 0.0000802; 11.0000000; 0.0000000
0.0999820; -0.1396528; -0.8788916; 1.8333256; 0.0000799; 11.0000000; 0.0000000
0.1999639; -0.2362090; -0.9048397; 1.8333336; 0.0000796; 11.0000000; 0.0000000
0.2999459; -0.3327649; -0.9307886; 1.8333415; 0.0000793; 11.0000000; 0.0000000
0.3999278; -0.4293206; -0.9567382; 1.8333494; 0.0000789; 11.0000000; 0.0000000
0.4999098; -0.5258762; -0.9826886; 1.8333573; 0.0000786; 11.0000000; 0.0000000
0.5998917; -0.6224315; -1.0086398; 1.8333652; 0.0000783; 11.0000000; 0.0000000
0.6998737; -0.7189866; -1.0345917; 1.8333730; 0.0000780; 11.0000000; 0.0000000
0.7998557; -0.8155415; -1.0605443; 1.8333808; 0.0000777; 11.0000000; 0.0000000
0.8998376; -0.9120962; -1.0864978; 1.8333885; 0.0000774; 11.0000000; 0.0000000
0.9998196; -1.0086507; -1.1124519; 1.8333963; 0.0000771; 11.0000000; 0.0000000
1.0998015; -1.1052050; -1.1384068; 1.8334039; 0.0000768; 11.0000000; 0.0000000
1.1997835; -1.2017591; -1.1643625; 1.8334116; 0.0000765; 11.0000000; 0.0000000
1.2997654; -1.2983130; -1.1903189; 1.8334192; 0.0000762; 11.0000000; 0.0000000
1.3997474; -1.3948667; -1.2162760; 1.8334268; 0.0000759; 11.0000000; 0.0000000
1.4997293; -1.4914203; -1.2422339; 1.8334344; 0.0000756; 11.0000000; 0.0000000
1.5997113; -1.5879736; -1.2681924; 1.8334420; 0.0000753; 11.0000000; 0.0000000
1.6996933; -1.6845267; -1.2941518; 1.8334495; 0.0000750; 11.0000000; 0.0000000
1.7996752; -1.7810796; -1.3201118; 1.8334569; 0.0000746; 11.0000000; 0.0000000
1.8996572; -1.8776324; -1.3460726; 1.8334644; 0.0000743; 11.0000000; 0.0000000
1.9996391; -1.9741849; -1.3720340; 1.8334718; 0.0000740; 11.0000000; 0.0000000
2.0996211; -2.0707373; -1.3979962; 1.8334792; 0.0000737; 11.0000000; 0.0000000
2.1996030; -2.1672894; -1.4239591; 1.8334865; 0.0000734; 11.0000000; 0.0000000
2.2995850; -2.2638414; -1.4499227; 1.8334939; 0.0000731; 11.0000000; 0.0000000
2.3995670; -2.3603932; -1.4758870; 1.8335012; 0.0000728; 11.0000000; 0.0000000
2.4995489; -2.4569448; -1.5018521; 1.8335084; 0.0000725; 11.0000000; 0.0000000
