# d06284ab-f46c-4a7c-a3c0-0d1d89f446ed
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0774132; -0.6785312; 1.8209299; 0.0001053; 10.9999961; 0.0000488
0.1999593; -0.2713549; -0.7280818; 1.8209412; 0.0000065; 10.9999970; 0.0000488
0.3999186; -0.4650177; -0.7775613; 1.8209325; -0.0000931; 10.9999979; 0.0000237
0.5998779; -0.6587503; -0.8270549; 1.8209049; -0.0001728; 10.9999983; 0.0000000
0.7998372; -0.8525430; -0.8765567; 1.8208643; -0.0002337; 10.9999983; 0.0000000
0.9997965; -1.0461128; -0.9259920; 1.8208115; -0.0002940; 10.9999983; 0.0000000
1.1997558; -1.2400150; -0.9755001; 1.8207489; -0.0003316; 10.9999983; 0.0000000
1.3997152; -1.4336911; -1.0249369; 1.8206788; -0.0003695; 10.9999983; 0.0000000
1.5996745; -1.6274545; -1.0743807; 1.8206016; -0.0003989; 10.9999983; 0.0000000
1.7996338; -1.8212399; -1.1238137; 1.8205196; -0.0004219; 10.9999983; 0.0000000
1.9995931; -2.0148805; -1.1731923; 1.8204330; -0.0004443; 10.9999983; 0.0000000
2.1995524; -2.2087551; -1.2226123; 1.8203424; -0.0004607; 10.9999983; 0.0000000
2.3995117; -2.4024531; -1.2719682; 1.8202487; -0.0004770; 10.9999983; 0.0000000
2.5994710; -2.5962537; -1.3213307; 1.8201517; -0.0004926; 10.9999983; 0.0000000
2.7994303; -2.7900405; -1.3706693; 1.8200517; -0.0005077; 10.9999983; 0.0000000
2.9993896; -2.9837513; -1.4199676; 1.8199487; -0.0005230; 10.9999983; 0.0000000
3.1993489; -3.1776078; -1.4692814; 1.8198425; -0.0005396; 10.9999983; 0.0000000
3.3993082; -3.3713358; -1.5185402; 1.8197330; -0.0005560; 10.9999983; 0.0000000
3.5992675; -3.5651702; -1.5678032; 1.8196200; -0.0005743; 10.9999983; 0.0000000
3.7992268; -3.7589684; -1.6170333; 1.8195033; -0.0005931; 10.9999983; 0.0000000
3.9991862; -3.9527427; -1.6662328; 1.8193828; -0.0006128; 10.9999983; 0.0000000
4.1991455; -4.1465927; -1.7154262; 1.8192581; -0.0006343; 10.9999983; 0.0000000
4.3991048; -4.3403629; -1.7645733; 1.8191291; -0.0006558; 10.9999983; 0.0000000
4.5990641; -4.5342233; -1.8137162; 1.8189956; -0.0006796; 10.9999983; 0.0000000
4.7990234; -4.7280468; -1.8628216; 1.8188573; -0.0007037; 10.9999983; 0.0000000
4.9989827; -4.9218751; -1.9118993; 1.8187142; -0.0007286; 10.9999983; 0.0000000
5.1989420; -5.1157340; -1.9609547; 1.8185659; -0.0007546; 10.9999983; 0.0000000
5.3989013; -5.3095625; -2.0099712; 1.8184124; -0.0007805; 10.9999983; 0.0000000
5.5988606; -5.5034391; -2.0589678; 1.8182537; -0.0008071; 10.9999983; 0.0000000
5.7988199; -5.6973050; -2.1079283; 1.8180896; -0.0008336; 10.9999983; 0.0000000
5.9987792; -5.8911768; -2.1568560; 1.8179204; -0.0008594; 10.9999983; 0.0000000
6.1987385; -6.0850627; -2.2057517; 1.8177460; -0.0008846; 10.9999983; 0.0000000
6.3986978; -6.2789615; -2.2546143; 1.8175666; -0.0009091; 10.9999983; -0.0000000
6.5986572; -6.4728500; -2.3034368; 1.8173827; -0.0009304; 10.9999983; -0.0000000
6.7986165; -6.6667766; -2.3522305; 1.8171945; -0.0009514; 10.9999983; -0.0000000
6.9985758; -6.8606810; -2.4009794; 1.8170026; -0.0009675; 10.9999983; -0.0000000
7.1985351; -7.0546120; -2.4496951; 1.8168077; -0.0009813; 10.9999983; -0.0000000
7.3984944; -7.2485692; -2.4983770; 1.8166102; -0.0009921; 10.9999983; -0.0000000
7.5984537; -7.4424872; -2.5470082; 1.8164116; -0.0009947; 10.9999983; -0.0000000
7.7984130; -7.6364901; -2.5956196; 1.8162124; -0.0009972; 10.9999983; -0.0000000
7.9983723; -7.8304150; -2.6441705; 1.8160139; -0.0009869; 10.9999983; -0.0000000
8.1983316; -8.0244052; -2.6926970; 1.8158178; -0.0009737; 10.9999983; -0.0000000
8.3982909; -8.2184071; -2.7411863; 1.8156247; -0.0009527; 10.9999983; -0.0000000
8.5982502; -8.4123665; -2.7896258; 1.8154377; -0.0009189; 10.9999983; -0.0000000
8.7982095; -8.6064538; -2.8380594; 1.8152572; -0.0008851; 10.9999983; -0.0000000
8.9981688; -8.8003844; -2.8864175; 1.8150860; -0.0008272; 10.9999983; -0.0000000
9.1981282; -8.9944383; -2.9347723; 1.8149265; -0.0007676; 10.9999983; -0.0000000
9.3980875; -9.1884670; -2.9830892; 1.8147797; -0.0006929; 10.9999983; -0.0000000
9.5980468; -9.3824686; -3.0313709; 1.8146502; -0.0006024; 10.9999983; -0.0000000
9.7980061; -9.5766205; -3.0796651; 1.8145387; -0.0005108; 10.9999983; 0.0000000
