# 27981570-d236-4c99-82fa-02bfd9a373e0
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.7585379; -0.2484626; 2.5723002; -0.0001033; 7.0606872; 3.2599778
0.1999287; 0.6507683; -0.4168596; 2.5723047; 0.0001481; 7.1524003; 3.1802000
0.3998574; 0.5430044; -0.5852587; 2.5723594; 0.0003995; 7.2407497; 3.0919313
0.5997860; 0.4352538; -0.7536662; 2.5724580; 0.0005217; 7.3256254; 3.0125714
0.7997147; 0.3275203; -0.9220852; 2.5725616; 0.0005148; 7.4073873; 2.9423344
0.9996434; 0.2198041; -1.0905154; 2.5726638; 0.0005079; 7.4863810; 2.8741908
1.1995721; 0.1121051; -1.2589564; 2.5727647; 0.0005009; 7.5627486; 2.8080605
1.3995008; 0.0044229; -1.4274083; 2.5728641; 0.0004938; 7.6366217; 2.7438458
1.5994295; -0.1032426; -1.5958707; 2.5729621; 0.0004866; 7.7081215; 2.6814741
1.7993581; -0.2108918; -1.7643437; 2.5730586; 0.0004792; 7.7773611; 2.6208709
1.9992868; -0.3185249; -1.9328270; 2.5731537; 0.0004719; 7.8444451; 2.5619581
2.1992155; -0.4261420; -2.1013204; 2.5732473; 0.0004643; 7.9094714; 2.5046842
2.3991442; -0.5337435; -2.2698238; 2.5733394; 0.0004567; 7.9725312; 1.0972569
2.5990729; -0.6413296; -2.4383370; 2.5734299; 0.0004490; 8.0000000; 0.0000000
2.7990016; -0.7489005; -2.6068599; 2.5735189; 0.0004412; 8.0000000; 0.0000000
2.9989302; -0.8564567; -2.7753923; 2.5736063; 0.0004334; 8.0000000; 0.0000000
3.1988589; -0.9639982; -2.9439340; 2.5736922; 0.0004254; 8.0000000; 0.0000000
3.3987876; -1.0715253; -3.1124848; 2.5737765; 0.0004174; 8.0000000; 0.0000000
3.5987163; -1.1790384; -3.2810446; 2.5738591; 0.0004093; 8.0000000; 0.0000000
3.7986450; -1.2865377; -3.4496132; 2.5739401; 0.0004011; 8.0000000; 0.0000000
3.9985737; -1.3940235; -3.6181905; 2.5740195; 0.0003929; 8.0000000; 0.0000000
4.1985023; -1.5014961; -3.7867761; 2.5740972; 0.0003845; 8.0000000; 0.0000000
4.3984310; -1.6089557; -3.9553701; 2.5741733; 0.0003761; 8.0000000; 0.0000000
4.5983597; -1.7164026; -4.1239721; 2.5742476; 0.0003676; 8.0000000; 0.0000000
4.7982884; -1.8238371; -4.2925820; 2.5743202; 0.0003590; 8.0000000; 0.0000000
4.9982171; -1.9312595; -4.4611997; 2.5743912; 0.0003504; 8.0000000; 0.0000000
5.1981458; -2.0386701; -4.6298248; 2.5744603; 0.0003416; 8.0000000; 0.0000000
5.3980744; -2.1460692; -4.7984573; 2.5745278; 0.0003328; 8.0000000; 0.0000000
5.5980031; -2.2534570; -4.9670969; 2.5745934; 0.0003239; 8.0000000; 0.0000000
5.7979318; -2.3608340; -5.1357435; 2.5746573; 0.0003149; 8.0000000; 0.0000000
5.9978605; -2.4682003; -5.3043968; 2.5747193; 0.0003059; 8.0000000; 0.0000000
6.1977892; -2.5755563; -5.4730567; 2.5747795; 0.0002966; 8.0000000; 0.0000000
6.3977179; -2.6829023; -5.6417230; 2.5748379; 0.0002874; 8.0000000; 0.0000000
6.5976465; -2.7902387; -5.8103955; 2.5748945; 0.0002781; 8.0000000; 0.0000000
6.7975752; -2.8975656; -5.9790739; 2.5749491; 0.0002686; 8.0000000; 0.0000000
6.9975039; -3.0048835; -6.1477581; 2.5750019; 0.0002591; 8.0000000; 0.0000000
7.1974326; -3.1121926; -6.3164478; 2.5750527; 0.0002494; 8.0000000; 0.0000000
7.3973613; -3.2194934; -6.4851429; 2.5751016; 0.0002397; 8.0000000; 0.0000000
7.5972900; -3.3267860; -6.6538431; 2.5751486; 0.0002299; 8.0000000; 0.0000000
7.7972186; -3.4340709; -6.8225482; 2.5751935; 0.0002200; 8.0000000; 0.0000000
7.9971473; -3.5413484; -6.9912581; 2.5752365; 0.0002100; 8.0000000; 0.0000000
8.1970760; -3.6486188; -7.1599725; 2.5752775; 0.0001998; 8.0000000; 0.0000000
8.3970047; -3.7558824; -7.3286912; 2.5753164; 0.0001896; 8.0000000; 0.0000000
8.5969334; -3.8631397; -7.4974139; 2.5753533; 0.0001792; 8.0000000; 0.0000000
8.7968621; -3.9703909; -7.6661405; 2.5753881; 0.0001687; 8.0000000; 0.0000000
8.9967907; -4.0776364; -7.8348707; 2.5754207; 0.0001582; 8.0000000; 0.0000000
9.1967194; -4.1848766; -8.0036042; 2.5754513; 0.0001474; 8.0000000; 0.0000000
9.3966481; -4.2921118; -8.1723410; 2.5754797; 0.0001365; 8.0000000; 0.0000000
9.5965768; -4.3993424; -8.3410806; 2.5755059; 0.0001256; 8.0000000; 0.0000000
9.7965055; -4.5065688; -8.5098230; 2.5755299; 0.0001144; 8.0000000; 0.0000000
9.9964342; -4.6137913; -8.6785678; 2.5755516; 0.0001033; 8.0000000; 0.0000000
10.1963628; -4.7210103; -8.8473148; 2.5755711; 0.0000918; 8.0000000; 0.0000000
10.3962915; -4.8282263; -9.0160638; 2.5755883; 0.0000803; 8.0000000; 0.0000000
10.5962202; -4.9354395; -9.1848145; 2.5756032; 0.0000686; 8.0000000; 0.0000000
10.7961489; -5.0426504; -9.3535667; 2.5756157; 0.0000567; 8.0000000; 0.0000000
10.9960776; -5.1498594; -9.5223201; 2.5756259; 0.0000449; 8.0000000; 0.0000000
11.1960063; -5.2570669; -9.6910745; 2.5756336; 0.0000326; 8.0000000; 0.0000000
11.3959349; -5.3642733; -9.8598295; 2.5756389; 0.0000204; 8.0000000; 0.0000000
11.5958636; -5.4714790; -10.0285850; 2.5756418; 0.0000079; 8.0000000; 0.0000000
11.7957923; -5.5786844; -10.1973407; 2.5756421; -0.0000047; 8.0000000; 0.0000000
11.9957210; -5.6858900; -10.3660962; 2.5756399; -0.0000173; 8.0000000; 0.0000000
12.1956497; -5.7930962; -10.5348514; 2.5756351; -0.0000304; 8.0000000; 0.0000000
12.3955784; -5.9003034; -10.7036060; 2.5756277; -0.0000434; 8.0000000; 0.0000000
12.5955070; -6.0075121; -10.8723596; 2.5756177; -0.0000567; 8.0000000; 0.0000000
12.7954357; -6.1147226; -11.0411120; 2.5756051; -0.0000701; 8.0000000; 0.0000000
12.9953644; -6.2219356; -11.2098629; 2.5755897; -0.0000836; 8.0000000; 0.0000000
13.1952931; -6.3291514; -11.3786120; 2.5755716; -0.0000975; 8.0000000; 0.0000000
13.3952218; -6.4363704; -11.5473590; 2.5755507; -0.0001113; 8.0000000; 0.0000000
13.5951505; -6.5435932; -11.7161036; 2.5755271; -0.0001254; 8.0000000; 0.0000000
13.7950791; -6.6508203; -11.8848455; 2.5755006; -0.0001397; 8.0000000; 0.0000000
13.9950078; -6.7580520; -12.0535844; 2.5754712; -0.0001539; 8.0000000; 0.0000000
14.1949365; -6.8652890; -12.2223201; 2.5754390; -0.0001686; 8.0000000; 0.0000000
14.3948652; -6.9725316; -12.3910521; 2.5754038; -0.0001832; 8.0000000; 0.0000000
